question,answer,skill
You think [name],Gives other people credit,respectful
,Lets you know what [name] has contributed,
"If [name] promises of calling or emailing you, [name]",Probably will,
,Defineitely will,integrity
"You would be happy to give [name]
",The keys to your house,trustful
,A friendly hello,
You think [name] treats waiters as,People [name] respects,respectful
,People working for [name],
When [name] makes a mistake [name] apologises ,Sometimes,
,Always,integrity
When [name] keeps you waiting [name] apologises ,Sometimes,
,Always,integrity
"If you have a big secret you want to share but also keep safe, you tell",[name],integrity
,Maybe someone else,
[name] changes how he/she acts depending on who he/she is with,A little too often,
,Rarely ever,integrity
"[name] pretends to like things to impress people
",Once and a while,
,Never,integrity
[name] likes to hear about,Your family ,people_focused
,Your current project,
"When comes into work, [name]",Always greets you,sociability
,Can be pre-occupied,
"[name] takes a real interest in your life
",Most of the time,people_focused
,Sometimes,
"[name] sees beauty in little things
",More often than I do,creative
,Not as often as I do,
[name] believes in stereotypes ,Less than other people do,
,More than other people do,creative
[name] makes decisions with,Good intuition,creative
,Good data,
"[name] hears about your taste in music or movies and offers
",Judgment,
,Intereset,listening
"When it comes to learning [name] is
","Genuinely curious
",authenticity
,Trying to impress,
"[name] checks the value of advice against
","Her own internal beliefs
",authenticity
,"How it will help him/her advance 
",coaching
"When someone demonstrates they dislike [name], 
",[name] looks uncomfortable,
,Recognises you can't please everyone,authenticity
"[name] can see things from the viewpoint of someone else
","Almost before they can
",conceptual_thinking
,"After the other person explains it clearly
",
"When [name] tells a story you feel like you learn
",How details connect to context,conceptual_thinking
,Something funny,
"If [name] makes a prediction you will
","Trust that it will come true
",conceptual_thinking
,Wait and see,
[name] loves,The big picture,conceptual_thinking
,The details,
"With people who might see [name] as an advisory,
",[name] as a good bond and mutal respect,manage_conflict
,[name] is professionally polite,
"Your team is divided, [name] will
",Pick your side,
,Help bridge the two sides,manage_conflict
"When friction is building and tempers begin to rise, [name]
","Wants to escape to the bar
",
,"Is the calmest soul in the room
",manage_conflict
As a negotiator [name] is,Always prepared,negotiation
,Ready to see what happens,
